우선순위,카테고리,기능명,기획서 요구사항,현재 상태,완료율,미구현/개선 필요 사항,담당 파일,난이도,예상 작업량
1,메인,배너 슬라이드 캐러셀,"4~5개 배너가 페이드 효과로 자동 전환 (웰컴 메시지, 멤버 소개, 시즌 공지)",부분구현 - 정적 배너만,30%,"여러 배너 데이터 구조, Embla/Swiper 캐러셀, 자동 전환 로직, 페이드 애니메이션",src/components/home/Hero.tsx,중,4시간
2,커뮤니티,공지사항 전용 페이지,배너형(상단) 및 리스트형 게시판 혼합 운영,미구현 - Notice 컴포넌트만 존재,20%,"/notice 페이지 생성, 배너형+리스트형 혼합, 카테고리 필터, 페이지네이션",src/app/notice/page.tsx (신규),중,3시간
3,기술,공지사항 자동 동기화,팬더TV 게시판 최신글 자동 추출 및 DB 적재,미구현,0%,"팬더TV 게시판 스크래퍼, 최신글 ID 추적, 자동 적재 API, 예외 처리",src/app/api/notices/sync/route.ts (신규),상,6시간
4,Admin,타임라인 관리 페이지,"운영자가 시즌별 주요 사건을 이미지/텍스트로 등록, 예정 이벤트도 등록 가능",구현완료,100%,"완료 - CRUD UI, 이미지 URL 미리보기, 예정 이벤트 배지, 시즌 선택",src/app/admin/timeline/page.tsx,완료,0
5,RG Info,타임라인 무한 스크롤,과거 데이터가 많아질 경우 연도별/시즌별 필터링 또는 무한 스크롤,구현완료,100%,"완료 - 무한 스크롤, 시간 필터(전체/과거/예정), 예정 배지 표시",src/components/info/Timeline.tsx,완료,0
6,시그리스트,유튜브 Lazy Loading,대량 유튜브 영상 로드 시 페이지 속도 저하 방지 - Lazy Loading 및 Facade 이미지,부분구현 - Next.js Image만,50%,"Intersection Observer 동적 로딩, Facade 이미지(클릭 시 영상 로드), 페이지네이션",src/components/info/SigGallery.tsx,중,3시간
7,Admin,라이브 상태 수동 오버라이드,크롤러 실패 시 BJ 라이브 상태를 강제로 ON 시킬 수 있는 마스터 스위치,미구현,0%,"Admin organization 페이지에 is_live 토글 버튼 추가, API 연동",src/app/admin/organization/page.tsx,하,1시간
8,Admin,대시보드 오늘 공지 수,오늘 업로드된 공지 수 요약 노출,미구현,0%,"대시보드 StatsCard에 오늘 공지 카운트 추가, Supabase 쿼리",src/app/admin/page.tsx,하,1시간
9,메인,LIVE MEMBERS 펄스 애니메이션,현재 방송 중인 멤버를 핑크색 펄스 애니메이션 테두리로 강조,구현완료,100%,"완료 - livePulse, cyanPulse 키프레임 구현됨",-,완료,0
10,메인,Notice 피드,최신 공지 2건 카드형 노출 + 중요 공지 핀 기능으로 상단 유지,구현완료,100%,완료 - is_pinned 필드 및 핀 아이콘 구현됨,-,완료,0
11,메인,Shorts & VOD,유튜브 연동 기반 썸네일 미리보기 및 클릭 시 영상 볼 수 있도록,구현완료,100%,완료 - YouTube 임베드 iframe 및 유틸 함수 구현됨,-,완료,0
12,RG Info,라이브 페이지,전체 멤버 그리드 + 엑셀부/크루부 토글 + 외부 방송 링크 연결,구현완료,100%,"완료 - 라이브/오프라인 분리, PandaTV 링크, 시안색 배지",-,완료,0
13,RG Info,조직도,피라미드 형태 UI + 토글 시 배경 테마 전환 + 멤버 상세 팝업,구현완료,100%,"완료 - 3단계 계층 구조, EXCEL/CREW 테마 전환, 연결선, 모달",-,완료,0
14,RG Info,시그리스트 필터/재생버튼,유닛별/멤버별 필터링 기능 + 시그니처 카드 재생버튼,구현완료,100%,완료 - 6-column 그리드 및 필터링 구현됨,-,완료,0
15,RG Info,타임라인 기본,시즌별 주요 사건을 시간순 이미지/텍스트 카드형 정렬,구현완료,100%,완료 - 시즌별 카드형 레이아웃 및 필터,-,완료,0
16,랭킹,후원 랭킹 게이지 바,후원 하트 개수를 게이지 바로 시각화 + 전체/시즌별 필터,구현완료,100%,완료 - Framer Motion 게이지 바 애니메이션,-,완료,0
17,VIP,VIP 페이지,상위 1~50위 전용 비공개 페이지 + 멤버 감사 영상 + 전용 메시지,구현완료,100%,"완료 - Top 50 검증, 감사 메시지, 시그니처 섹션",-,완료,0
18,VIP,랭커 특전 헌정 페이지,1~3위 클릭 시 개별 헌정 페이지(Secret Page) 연결,구현완료,100%,"완료 - Hash URL, 입장 게이트, 콘텐츠 보호",-,완료,0
19,일정,캘린더,월간 일정표 + 엑셀부/크루부 색상 구분 + 이벤트 추가,구현완료,100%,완료 - 이벤트 타입별 색상 범례 적용,-,완료,0
20,커뮤니티,자유게시판,익명 선택 가능 + 검색/정렬 + 테이블/카드형,구현완료,100%,"완료 - is_anonymous 필드, NEW/HOT 배지",-,완료,0
21,커뮤니티,VIP 게시판,권한 계정만 접근 가능한 VIP 전용 게시판,구현완료,100%,완료 - Top 50 검증 및 글쓰기 권한,-,완료,0
22,기술,라이브 상태 스크래퍼,2~3분 단위로 BJ 방송국 URL 스캔하여 라이브 상태 자동 감지,구현완료,100%,"완료 - Cron Job, HTML 파싱, 동시성 제어",-,완료,0
23,후원,CSV 업로드,중복 처리 옵션 (합산/덮어쓰기/건너뛰기) + 미리보기,구현완료,100%,완료 - CsvUploader 컴포넌트 완구현,-,완료,0
24,보안,VIP 콘텐츠 보호,우클릭 방지 및 소스 코드 보기 제어,구현완료,100%,"완료 - useContentProtection 훅, 다중 방어",-,완료,0
25,보안,Secret Page 접근 권한,고유 해시 URL 또는 로그인 기반 권한 체크,구현완료,100%,"완료 - Hash URL, decodeHashToUserId 검증",-,완료,0
26,Admin,대시보드 라이브 현황,현재 라이브 중인 인원 수 요약,구현완료,100%,완료 - StatsCard 및 실시간 라이브 섹션,-,완료,0
27,Admin,회원 관리,일반/VIP/Secret 권한 수동 부여/해제,구현완료,100%,완료 - role 변경 기능,-,완료,0
28,Admin,11개 관리 페이지,멤버/후원/일정/공지/미디어/시그니처/조직/시즌/게시글/VIP보상/배너,구현완료,100%,완료 - 총 11개 Admin 페이지 구현됨,-,완료,0
29,반응형,모바일 최적화,모바일 접속률 80% 이상 대응 - 정보 밀도/가독성 최우선,구현완료,100%,완료 - 대부분 페이지 반응형 CSS 적용,-,완료,0

